municipio,uf,data_dia,t2m,tp,u10,v10
RIO DE JANEIRO,RJ,2025-12-10,27.870744158286698,1.2043529884849364,0.29619558007423696,-4.58935222225398
RIO DE JANEIRO,RJ,2025-12-11,27.362577779717697,0.0015057219046714966,1.661076969937454,-0.8267800505540022
RIO DE JANEIRO,RJ,2025-12-12,25.643282590018714,0.11536147681913568,-1.7012207778596635,-0.008954535356266391
RIO DE JANEIRO,RJ,2025-12-13,25.046084289077385,4.266322271267104,-0.5482455527960272,-0.17953682131610446
RIO DE JANEIRO,RJ,2025-12-14,25.84643632262282,5.786218791035593,-0.017024803830068713,-1.2463377617756262
RIO DE JANEIRO,RJ,2025-12-15,27.198866664261118,4.84781125559139,-0.12755798519050676,-1.1279794149285398
RIO DE JANEIRO,RJ,2025-12-16,25.299087866266802,6.455942008817001,1.0934474435810788,0.8376329265476286
RIO DE JANEIRO,RJ,2025-12-17,23.63963126059184,4.225649209159573,-0.04139952603629515,1.8648579955748845
RIO DE JANEIRO,RJ,2025-12-18,23.581392476709993,1.0139419561667016,-1.379605399259938,0.5022730587626129
RIO DE JANEIRO,RJ,2025-12-19,23.978125357413433,0.012538630840339682,-1.5861037723933946,-0.3978910929529603
RIO DE JANEIRO,RJ,2025-12-20,24.68282686070023,1.4837946159073165,-1.8818344560412634,-0.6206749071479196
RIO DE JANEIRO,RJ,2025-12-21,24.837025833627877,1.4809456505838674,-1.303763262945881,-0.4998813221914193
RIO DE JANEIRO,RJ,2025-12-22,24.420712881812335,1.6916875135755314,-1.0376373450834369,-0.1862907148819471
RIO DE JANEIRO,RJ,2025-12-23,24.126198235037407,2.267470479120913,-1.3532342972633042,-0.4564106991295623
RIO DE JANEIRO,RJ,2025-12-24,24.43412762766377,1.799434316786978,-0.9789004960442778,-0.7211186293519873
RIO DE JANEIRO,RJ,2025-12-25,24.599301509446377,1.326482330103154,-0.6655108908130162,-0.7652823091404906
RIO DE JANEIRO,RJ,2025-12-26,23.521195900132852,1.25334991397389,-0.5533352221806436,-1.371788266148182
SALVADOR,BA,2025-12-10,25.51226772127137,0.04393920570968827,-3.9846249815887105,-1.036379264676509
SALVADOR,BA,2025-12-11,25.93287881853587,0.10000000149011613,-3.325181370294948,-1.800747356231948
SALVADOR,BA,2025-12-12,26.217608701103586,0.10000000149011613,-3.6286008402541423,-1.7274431682304412
SALVADOR,BA,2025-12-13,26.07384520226543,0.1746982834563351,-4.023273974129669,-1.2336455544827882
SALVADOR,BA,2025-12-14,25.890986480051424,0.29925503014587096,-4.104912380569954,-0.8974803206490112
SALVADOR,BA,2025-12-15,25.704278884788152,0.24939657098800966,-3.8534954977363673,-0.7616894007099712
SALVADOR,BA,2025-12-16,25.652408876715697,0.2471971608396038,-3.7938245793273286,-0.8572459873250762
SALVADOR,BA,2025-12-17,25.66436426793439,0.1992550230902992,-4.100459529899943,-0.3993141572773986
SALVADOR,BA,2025-12-18,25.534775686010278,0.7958487211856755,-3.9009455369981367,0.28847958913424876
SALVADOR,BA,2025-12-19,25.467518803387918,1.5915633284053277,-3.5646378878986114,0.5809666856618485
SALVADOR,BA,2025-12-20,25.42586247491397,1.441451664862213,-3.274269205985658,0.462424048345644
SALVADOR,BA,2025-12-21,25.25668088559206,0.3149431469922277,-2.9517826138589425,-0.1754721074195285
SALVADOR,BA,2025-12-22,25.3151880290539,0.3329223147410514,-3.1442269819485062,-0.2308383474828241
SALVADOR,BA,2025-12-23,25.57740999867889,0.660119625861383,-3.426673390141597,-0.05974638158658613
SALVADOR,BA,2025-12-24,25.74884618608843,0.2712564914516744,-3.317777545140898,0.4836921634649982
SALVADOR,BA,2025-12-25,25.798083853966205,1.2104009403536655,-3.7052515766308067,0.4467781909346187
SALVADOR,BA,2025-12-26,24.770661476471844,0.0,-4.2062892443571185,0.1987273793022713
